titles,reviews
존 윅 4,총보 무섭다 윈스턴 다정하다 살인자 영원하다 샤론 랜스 레드 시리즈 완벽하다 종합 존윅 지독하다 개사 슈퍼히어로 영화 몰락하다 순간 블록버스터 지평선 떠오르다 이순신 정신과 사무라이 서부 존윅 액션 그만하다 되어다 액션 힘들다 보이다 액션 기대하다 넘다 기다 존윅 액션 대단하다 이유 싸우다 장면 크다 막스 내내 떼다 수가 짧다 느껴지다 정도 차다 재미있다 자토이치 맹인 검사 설정 싫다 견디다 수가 기대 액션 후반 장면 존윅 시리즈 최고 명장 중반 부분 루즈 편의 상치 인기 진작 컨셉 잡아먹히다 기어이 마지막 채다 걸어오다 아저씨 투덜대다 빨갛다 주다 나다 이상하다 액션 장르 정의 장르 쾌감 예술 경지 끌다 올리다 극단 터테 캐릭터 완벽하다 사이 대범하다 마무리 끈덕진 피로 쾌감 여로 황홀하다 동시 다발 완벽하다 시리즈 최고 전작 단점 없애다 장점 극대 화하다 도로 가운데 성당 계단 오사카 호텔 기대 액션 보여주다 세상 무섭다 소리 들다 장르 끊임없다 액션 크다 지치다 넘버링 슬래시 액션 독보 프렌 차이 이자 정점 해방 쉬다 늘다 페이크 액션영화 마스터피스 존윅 액션 신다 영화 나오다 업그레이드 현대 액션 집합 싶다 확실하다 보여주다 끝내다 기대하다 액션씬 피로하다 달리 액션 절정 보여주다 전반 불다 전작 반복 후반 액션 시작 감탄 화려하다 불타다 마지막 불꽃 모잠비크 드릴 플로우 비치 통쾌하다 액션 견자단 활약 싸우다 싸우다 싸우다 영화 만화 게임 보여주다 방식 신선하다 존윅 액션 높아지다 액션영화 존윅 최고다 러닝 타임 때매 깎다 시리즈 종착역 다운 결말 화려하다 깔끔하다 액션 액션영화 스토리 기대하다 안되다 액션 간지 끊다 협주곡 군더더기 길다 확실하다 나가다 액션 이렇다 영화 오다 존윅 착하다 얼굴 태도 마지막 정도 액션 신들 최고다 제목 쓸다 죽다 영화 기다 여정 자유 안식 찾다 떠나다 마지막 여정 감각 미장센 다양하다 상황 액션 포식 과식 존윅 존윅했다 존멋 존잼 장르 스토리 새롭다 액션 영화 기대 만족 존윅 살다 알다 애견 기억 쏘다 죽이다 놀이동산 서양 무협 엔드게임 가다 그립다 관객 영화 바란 액션 영화 관객 보여주다 액션 뇌절 알다 의리 영화 시원하다 액션 달리다 깊다 두운 고난 고통 거치다 다다르다 고단 평안 시리즈 최고 마스터 피스 싸다 압살 개그 액션 느낌 중간 중간 많아지다 액션 깔끔하다 내용 반복 느낌 더욱 워진 액션 거대하다 세계관 노니 존윅
다리미 패밀리,대다 가족 재혼 이루어지다 가족 구성원 들이다 겪다 좌충우돌 블랙코미디 순간 연기력 뽑다 배유 들다 대단하다 주말 본방 사수 만들다 다리미 패밀리 화이팅 재밌다 챙기다 주말 드라마 마음 만들다 남다 캐릭터 사랑 도르다 캐릭터 살다 현재 확실하다 알다 주드 미니 이렇다 구분 무의미하다 대본 좋다 연기 퀄리티 주말 드라마 매력 가지다 캐릭터 구성 빠르다 전개 화가 궁금하다 드라마 찌질하다 깔다 거리 기도 웃기다 최상호 정윤 전작 작품 진지하다 새롭다 모습 빠져들다 정윤 배우 가능하다 최상호 주말 드라마 재미나 사랑 마음 헤치다 나아가다 챙기다 주드 캐릭터 매력 질질 끄다 스토리 급하다 해피엔딩 마무리 허무하다 다림 뜨다 공감 모든 가족 바라보다 마음 뜨다 해주다 드라마틱하다 에피소드 찰떡 써다 먹다 주말 세우다 야하다 훔치다 훔치다 훔치다 도둑 집안 답답하다 넘어서다 어떻다 결론 도달 한국 드라마 한계
구룡성채: 무법지대,개봉 무대 인사 상영 회로 만난 영화 홍콩 액션 명맥 어간 달다 느낌 강하다 유치 찬란 자체 옛날 홍콩 영화 영화 과장 후반 액션 지루하다 중반 런닝타임 버티다 야하다 그립다 과장 홍콩 액션 홍콩 무협 추억 돋다 액션 화려하다 모든 피곤하다 몰아치다 무협 액션 홍콩인 사라 태풍 구룡성채 무법 지대 기대하다 무간도 결과물 드레곤볼 반갑다 아쉽다 무협 추억 구룡성 간짜장 최고 마작 두기 필요하다 멤버 복수 의리 좋다 맹량 액션 고천락 바람 크다 도움 되어다 괴짜 최종 빌런 웃음 주다 향수 듬뿍 묻다 나오다 의리 낭만 년대 홍콩 무협 사이 노스 지다 홍콩 영화 광막 성채 낭만 상처 고스 옛날 홍콩 영화 느낌 좋다 홍콩 느와르 배우 멋있다 시절 무법 대다 구룡성채 홍콩 액션영화 추천 영화 년대 홍콩 자다 표현 조연 발란스 아쉽다 서브 조연 제일 세다 이건 납득 안감 중간 스토리 루즈 아쉬움 액션 중간 넣다 분쟁 쌓다 성채 맹렬하다 뜨겁다 몰아치다 바람 바람 일어 새롭다 날다 좋아하다 홍콩 액션영화 홍콩 무협 영화 죽다 여전하다 그립다 홍콩영화 황금기 부치다 러브레터 영화 액션 무협 쓰다 구현 시대 낭만 우정 세대 교체 좋다 점도 나쁘다 점도 년대 홍콩영화 굳이 구룡성채 기대하다 원하다 액션씬 뽑다 못햇 빌드업 길다 세대 교체 앓이 액션 올해 작품 최고 구룡성채 무법 지대 무법 지대 배경 펼쳐지다 강렬하다 액션 영화 다양하다 액션 장면 눈길 사로자다 몰입 해주다 홍콩영화 그리움 담기다 무협 가미 액션 좋다 구룡성채 세트 좋다 좁다 복잡하다 이미지 자다 표현 자막 문제 사이클론 차단 무협 영화 무협 모르다 번역 헀다 지옥 구룡성채 따뜻하다 홍콩 배우 젊다 배우 세대 아우르다 영화 교체 보이다 만화 무협 액션 만하 홍콩영화 추억 더욱 재밌다 년대 향수 떠오르다 작품 일상 벗어나다 시간여행 달콤하다 순간 초대 해주다 관계자 감사 드리다 시원하다 홍콩 액션 좋다 화려하다 홍콩 액션 영화 어설프다 끼어들다 구룡성채 사라지다 영화인 허다 수호지 양산박 현대 구룡성채 따오다 무협 액션 보여주다 감독 구룡성채 그리움 자다 표현 홍콩 무협 미래 개연 벗어나다 빌런 아쉽다 홍콩 그리움 지나치다 홍콩 액션 줄거리 싸움 핑계 년대 홍콩 영화 낭만 오글거리다 피하 즐기다 홍콩 무협 영화 광반 홍콩영화 레전드 귀환 성공 세대 교체 액션 낭만 대치 홍콩영화 새롭다 시작 꿈꾸다 진정 떠나다 보내다 홍콩 시대 년새 나오다 홍콩영화 자다 만들다 추억 돋다 홍콩 느와르 무법 지대 질서 규칙 평화 시절 홍콩 낭만 훌륭하다 액션 적당하다 조화 뻔하다 스토리 밟다 일어서다 액션
월래스와 그로밋 : 거대 토끼의 저주,월레스 그로 환상 콤비 월레스 그로 리즈 항상 재미있다 동심 어리다 추억 새록새록 월래스 그로 후속작 나오다 기대 치이다 이즈 자세하다 살펴보다 캐릭터 지문 묻다 지문 사랑스럽다 싶다 영화 스톱 모션 애니메이션 영화 만들다 충분하다 예술 가치 높다 사랑스럽다 공포 토끼 단편 장단점 장편 오니 대화 윌래스 그로 추격씬 진기 명기 기발하다 아이디어 알다 보이다 패러디 나이 여러가지 대단하다 작품 유쾌하다 매력 클레이 애니메이션 아기자기하다 흐뭇하다 스릴러 유년 시절 별난 콤비 여전하다 건재 유쾌하다 장인 손맛 엔딩크레딧 끝나다 뜨다 문장 센스 평범하다 영화 딱하다 스탑모션 감탄 야무지다 강아지 치즈 여행 떠나다 재미있다 충분하다 즐겁다 사랑스럽다 항상 그로 고생 많다 꿀잼 짜다 동심 이해 거대 토끼 무척 끔찍하다 고생 많다 친구 더욱 고맙다 환상 콤비 월레스 그로 단편 매력 장편 분야 대가 틀림 평점 아기자기하다 남다 무려 괴수 월레스 그로 시리즈 크다 장기 장르 확장 차이 만들다 내다 세심 디테 일과 상상력 가득하다 플롯 주인공 빌런 가리다 채소 먹기 싫다 클레이 애니 매력 월레스 그로 시리즈 가지다 독특하다 브로맨스 어드벤처 흠뻑 빠지다 단편 짧다 굵다 매력 길다 가기 벅차다
애프터 웨딩 인 뉴욕,주도 살아가다 여성 선택 지지 결혼식 벌어지다 해프닝 정도 로만 영화 무겁다 느껴지다 영화 영화 휴지 찾다 주인공 인생 끊임없다 선택 연속 딜레마 평범하다 줄리 무어 거치 비범하다 성별 바뀌다 원작 나아가다 전혀 나오다 끝나다 버리다 주인공 정선 따라가다 쉬다 긁다 부스럼 만들다 감독 테레사 시점 묘사 느끼다 세상 지나다 걸다 세상 지나치다 걸다 복잡하다 관계 눈물나다 영화 세상 경계 자르다 표현 미묘하다 관계 존재 소재 흥미롭다 영화 좋다 원작 불구 인물 지키다 둥지 품격 출생 비밀 어떻다 값지다 선택 숏컷 미셸 윌리 임스 최고 여배우 호흡 만하 내용 막장드라마 애프터 웨딩 뉴욕 인도 고아원 운영 여인 후원 받다 뉴욕 오다 후원자 가족 잃어버리다 인연 찾다 드라마 영화 원작 영화
나이브스 아웃,영리하다 질문 이끌다 탁월하다 추리 현대 미국 사회 초상 나이 브스 아웃 나이 브스 아웃 베스트셀러 갑부 작가 죽음 유산 둘러싸다 가족 라이언 존슨 감독 후더닛 미스터리 작품 라스트 제다이 영화인 작품 결과 과정 중시 아름답다 포물선 이브 아웃 영화 나이 브스 아웃 영화 짜임새 탄탄하다 불구 로움 작품 어수룩하다 형사 아가 크리스 떠올리다 크다 실수 추리물 완벽하다 해석 돋보이다 추리 장르 저택 해체 쌓다 올리다 라이언 존슨 능력 가감 드러내다 기대 유쾌하다 배신 추리 소설 클리셰 클리셰 아슬아슬하다 뻔하다 냉철하다 풍자 추리소설 항상 누누이 이민자 나라 살다 본인 이민자 재밌다 이렇다 추리 영화 계속 나오다 좋다 시사회 처음 감정 느끼다 싶다 뻔하다 반전 평범하다 냉철하다 풍자 숨다 영화 런가 명절 연휴 킬링 타임 겨울 영화 영화 재밌다 와우 마이 하우스 마이 마이 커피 마이 무비 가다 후더닛 무비 진수 라이언 존슨 극본 챙기다 전세계 추리소설 기다리다 클래시 후더닛 장르 영화 완벽하다 부활 우화 추리물 장르 톱니바퀴 기막히다 맞다 물리다 인스타 넷플릭스 시대 애거 크리스 미스터리 영화 감동 진짜 잘만 추리 영화 간병인 설정 살짝 오버 느껴지다 감점 인간 탐욕 사악하다 보이다 영화 느끼다 추리소설 진하다 향기 추측 가능하다 추측 불가능하다 추리 다가 추리 영화 클래식 추리물 지침 라이언 존슨 필요하다 훌륭하다 각본 수많다 복선 차곡차곡 풀다 간다 전통 추리소설 감추다 날카롭다 칼날 라스트 제다이 재물 사용 이렇다 명작 만들다 라이언 존슨 애거 크리스 원작 영화 애거 크리스 원작 영화 영화 추리소설 속독 읽다 느낌 인간 추악하다 영화 쥐다 없어지다 돌변 모습 소름 영화 당연하다 원작 리지 각본 튼튼하다 짜임새 보이다 추리 영화 제목 나이 브스 이웃 영화 리뷰 나이 브스 아웃 클래식 열광하다 이유 촘촘하 자다 짜이다 각본 드라마 해주다 연출 빠지다 연기 좋다 영화 필요하다 삼박자 완벽하다 갖추다 훌륭하다 영화 한순간 떼다 떼다 순간 범인 바뀌다 영화 공간 영화 공간 되어다 버리다 흡입 스토리 연기력 몰입도 셜록 홈즈 생각나다 영화 흥미진진 탐정물 전승 되어다 좋다 작법 흔하다 어떻다 표현 따르다 크다 즐거움 느끼다 추리 이렇다 보여주다 만들어지다 작품 팝콘 먹다 사이다 말다 남아 따뜻하다 카라멜 팝콘 조각 아카데미 각본 후보 대본 탄탄하다 반전 반전 어마어마하다 떡밥 회수 능력 엄청나다 블랙코미디 요소 직관 이해 좋다 빼다 적절하다 빼다 정확하다 매듭 짓다 이렇다 권선 징악 라면 따르다 용의 감독 이렇다 영화 힘쓰다 알다 심플 전해지다 선하다 영향력 추리 영화 장르 즐거움 대치 끌다 올리다 제공 트릭 자체 훌륭하다 메세지 감추다 도구 대단하다 흥미롭다
듄: 파트2,부르다 부의 빌드업 부르다 부의 빌드업 파트 모래 빠져들다 듯이 영화 빠져들다 믿다 믿다 믿다 믿다 액션 가다 내내 들다 세상 시절 새롭다 우주 발원 믿다 리산 가입 메시아 나발 중요하다 이정 영화 경험 선사 영화 만나다 쉬다 영화관 달려가다 드니 빌뇌브 감독 야심 부디 극장 리산 가입 되어다 반지 제왕 시리즈 가오 개다 시리즈 십년 걸치다 차기 스페이스 오페라 정도 발의 기다리다 힘드다 싶다 강렬하다 넘다 세계 인도 눈부시다 황홀경 시리즈 기억 재밌다 전개 빠르다 건너 뛰다 많다 가다 넘기다 이어지다 쓸데없다 밀당 영화계 패러다임 바꾸다 대작 극장 충격 받다 정도 규모 영화 방대하다 원작 스토리 갈다 시리즈 궁금하다 스타워즈 라면 판타지 갈증 해소 기분 느끼다 전작 빠르다 방대하다 속편 운명 역할 코스 호러 크툴루 이용 운명 잡다 먹히다 영화 영화 부모님 세대 반지 제왕 세대 텁텁 모래폭풍 끝내주다 근사하다 강정 확실하다 영화 퀄리티 다르다 구멍 황홀 자체 기다 끊어지다 스토리 아쉽다 두껍다 생생하다 읽다 기분 파트 일말 부조화 삼키다 모래 폭풍 구원 지배 갈망 메시아 잠재 재앙 선택 가혹 리산 가입 운명 모래톱 빨다 들어가다 연한 메시아 모로 리산 가입 무앗딥 퀴사츠 더락 삼위일체 웅장 여정 완수 우슬 아트 레이 데스 키스 공작 무앗딥 지하드 시작 드니 빌뇌브 인도 따르다 영혼 작품 결코 뒤지다 작품 세계 머릿속 각인 되어다 위대하다 트롤 로지 중간 지나가다 서사 라이 모든 역경 이기다 찬란하다 높다 하늘 솟다 창공 내다 활공 명작 부르다 만들다 세계관 배경 지식 영화 감상 감독 어떻다 세계 데려가다 느끼다 생동감 경직 괴리감 영웅 여과 조명하 담편 나오다 구원 자의 탄생 모든 완벽하다 역대 스케일 판타지 탄탄하다 세계관 빠르다 전개 웅장 명장 재밌다 서사 완벽하다 판타지 영화 속편 계속 전설 설득 전도 가득하다 리산 가입 영화 희다 대의 걸작 아쉽다 기다리다 상미 영상 미가 키스 키스 날리다 사막 가다 용다 가다 연속 계로 이동 경험 맞닿다 기회 영화 아름답다 증명 재밌다 위대하다 전설 증인 자리 흥분 영화 극장 아이맥스 존재 이유 느껴지다 정도 압도 영상 운명 거부 받아들이다 메시아 찬양 회의 시선 장면 장면 좋다 기술 아이디어 가득 용다 영화관 존재 이유 진지하다 겉도 느낌 자리 느낌 주다 디테일 세계 반영웅 주의 설파 지루하다 부분 상미 사운드 스토리 좋다 영상 음악 서사 캐릭터 모든 완벽하다
미션 임파서블 2,나쁘다 나쁘다 오우삼 선택 과장 연출 부탁 톰형 의지 하니 감독 비난 싶다 탠디 뉴튼 황홀하다 미모 감탄 나오다 탠디라 흑인 인어공주 찬성 시리즈 유일하다 아깝다 영화 이건 미션 시리즈 오우삼 감독 영화 질적 괴작 넘기다 문제 톰형 비둘기 비둘기 당시 어떻다 모르다 금보 촌스럽다 자체 감독 주다 유감 나다 유감 한참 기대 떨어지다 실패하다 퓨전 요리 진심 가면 액션 히어로 해보다 싶다 가하다 크루즈 버킷 리스트 여전하다 우스꽝스럽다 오우삼 연출 밑천 드러내다 범작 미션 임파 홍콩 영화 섞다 일어나다 홍콩 느와르 주인공 돼다 싶다 크루즈 어설프다 멋있다 보이다 처음 문제 비둘기 실소 터지다 나오다 오우삼 감독 스타 일리 액션 시리즈 최고 수준 모토크로스 추격 전과 클라이맥스 압도 바이러스 배신 로맨스 다양하다 요소 섞이다 스토리 산만하다 띵작 선글라스 기억 남다 나오다 평범하다 올드 액션영화 평범하다 액션영화 미제 워싱 홍콩 영화 비둘기 치우다 이해 미션임파서블 미션임파서블 기분 과도 오우삼 스타일 차용 슬로우모션 남발 인하다 크나크다 괴리감 액션영화 고전 고전 이유 안해 동작 보이 주인공 버프 넘다 심하다 액션영화 필수요소 감독 오우삼 런가 머리 싸움 무술 액션 많다 액션 자꾸 가오 부리다 현실 낭만 액션 기대다 어렵다 최악 미션 비둘기 첩보물 모습 어디가 액션 블록버스터 남다 홍콩 액션 블록버스터 가면 여자 인질 다한 분명 급박하다 액션 벌어지다 감다 미션 임파 감동 느끼다 싶다 영웅본색 향수 젖다 버리다 에단 헌트 느슨하다 칭송 받다 액션 사랑 받다 오만하다 느껴지다 불구 기다리다 제작자 오우삼 기대하다 걸다 스토리 연기력 몰입도 영화 빌드업 사그라지다 빌다 업다 느낌 영화 톰형 싶다 액션 좋다 슬로우 많다 서스펜스 육탄 선택 연출 남다 개성 만들다 몇몇 들다 장면 도취 되어다 흡입 잃어버리다 현실 밉다 임파 시리즈 장점 희다 작품 시절 미국 드라마 느낌 찌르다 장면 만하 플롯 준수 연출 불합격 전체 전개 자체 뻔하다 영화 허용 들어가다 옛날 영화 과도 슬로우모션 시리즈 기대 여주 미모 아쉽다 영화 재미 감동 홍콩 영화 배급 인기 영화 제목 멋대로 붙이다 속편 보이 경우 많다 미션 임파 시리즈 유일하다 대형 수모 간지 구미 넘다 들다 크루즈 나가다 안되다 추격 황당하다 연출 중요하다 깨닫다 좋다 영화 비둘기 늘다 집어치우다 망하다 슬로우모션 그만하다 필요 시리즈 최하 오우삼
나의 완벽한 비서,한지민 연기 최고 한지민 미모 레전드 괜찮다 한지민 배우 발음 원래 이렇다 뭉개져 알아듣다 어려움 재야 작품 잡다 간만 초장 달리다 나오다 이준혁 시작 간만 나오다 비주 검증 연기력 빠지다 조합 힐링 로맨스 설레다 용두 미인 드라마 이기다 한지민 예쁘다 이준혁 잘생기다 전개 시원시원하다 고구마 가볍다 좋다 여주 연기 배우 배우 깔다 연기 끄다 나이 끄다 주연 배우 은근 케미 좋다 계속 웃다 응원 예상 가능 스토리 느낌 한지민 이준혁 연기 좋다 연출 깔끔하다 가다 모르다 여주 연기 안정 몰입 깨지다 클리 범벅 재미 한지민 이쁘다 이쁘다 차다 특정 받침 발음 자막 자다 알아듣다 이준혁 딕션 좋다 흔하다 내용 배우 비쥬 기합 좋다 상미 음악 뛰어나다 집중 존잼 이준혁 배우 용다 감동 심하다 잘생기다 잘생기다 잘생기다 말다 어설프다 한지민 친자 트렁크 국뽕 차오르다 이렇다 한드보 짜다 식다 안되다 설정 확인 해주다 희미하다 개연 성은 설득 떨어지다 유은호 빠지다 준혁 이준혁 잃다 최근 주중 스탈 광대 승천 잘생기다 돌싱 남다 처음 이준혁 얼굴 이준혁 어째 나이 수록 자다 생기다 스토리 한지민 이준혁 캐스팅 고대로 망하다 수도 제작 역량 쪼꼼 아쉽다 현실 제목 짐작 나쁘다 서사 정선 아쉬움 지금껏 이준혁 마흔 로코 남다 쓰다 제작사 직무 유기 가면 갈수록 빠져들다 대표 비서 로맨스 한지민 예쁘다 예쁘다 나오다 이준혁 스마트 멋지다 어케 살짝 변주 백마 왕자 오글거리다 국산 로코 오피스 상황 실감 오글거리다 동화 설정 근방 최신 드라마 제일 쫀쫀 드라마 응원 한지민 재미있다 남자 비서 소재 신선하다 한지민 좋아하다 안되다 여배우 이준혁 발견 제발 로맨스 찍다 흥미진진 익숙하다 소재 만하 재미있다 이렇다 비서 재미 계속 광공 여주 스윗 남다 혐관 시작 서사 재밌다 기대 남다 여주 잘생기다 예쁘다 재밌다 스토리 만해 차내 용이 궁금하다 도도하다 여배우 포스 주가 자다 받다 추다 이준혁 발견 로맨스 배우 모르다 주연 배우 얼굴 퍼펙트 기대하다 이정 케미 모르다 비현실적 판타지 가깝다 이렇다 소재 관심 뻔하다 간질거리다 계속 얼굴 빼다 내용 왕자 사랑 빠지다 신데렐라 남자 버전 이준혁 한지민 텐션 장면 나오다 말로 설명 어른 텐션 전개 두다 로코 만족하다 어울리다 주연 어울리다 배역 기우 불과하다 자다 가다 남자 가보다 유은호 넘다 멋있다 이건 반지 제왕 뛰어넘다 판타지 장르 이준혁 한지민 조합 재밌다 남여 배우 훈훈하다 스토리 전형 로코 짐느 알다 뻔하다 좋다 로맨스 편하다 좋다 헤드헌터 자다 모르다 직업 여주 갖다 신선하다 주인공 분위기 드라마 분위기 자다 어울림 결점 결점 보완 해주다 설레다 주의보 재밌다 설레다 달다
사랑은 외나무다리에서,나다 주지훈 기다 이렇다 내용 대다 초반 배우 싶다 마흔 목전 두다 배우 사랑 기다 좋다 배우 사랑 치다 유치하다 서사 좋다 코믹 부분 웃기 진지하다 부분 당분간 적다 어리다 성인 끌리다 취향 따르다 다르다 잡다 좋다 유치하다 사랑 원래 유치하다 재밋어 스토리 촌스럽다 식상하다 연기 자다 주지훈 배우 참다 대본 심하다 배우 데리 지루 크다 용두사미 쓸데없다 얘기 많다 많다 로코 본질 충실하다 주지훈 정유미 자다 어울리다 하이 로맨스 살벌하다 들다 힐링 행복하다 주지훈 넘다 멋있다 주지훈 배우 하찮다 이사장 윰블리 좋다 가다 기대 아역배우 상큼 연기 넘다 좋다 심각하다 인상 쓰다 많다 드라마 힐링 정유미 유투브 통해 흐르다 들어오다 아역 배우 주지훈 정유미 케미 좋다 기합 지원 대사 힐링 대사 좋다 허겁지겁 풀다 화가 덥다 주지훈 배우 로코 좋다 서사 길다 결혼식 보여주다 결말 아쉽다 배우 로코 연기 연출 음악 탁월 스토리 어딘가 옛날 스타일 메인 서사 분량 절망 부작 패착 보이다 부로 하든 조연 서사 자르다 용두사미 용두 자다 모르다 자세하다 풀다 메인 서사 흐려지다 느끼다 유미 배우 스타 일링 아쉽다 부분 많다 지원 사랑 애틋하다 주지훈 배우 정유미 배우 로맨스 궁금하다 어리다 지원 윤지 미래 궁금하다 아역배우 부분 재미있다 남다 여주 연기 어색하다 스토리 유치하다 전체 불편하다 최악 로맨스 들다 로코 여왕 정유미 배우 나오다 기대하다 진부하다 평범하다 로코 내용 살짝 아쉬움 느껴지다 재밌다 아쉽다 초반 느리다 전개 되어다 후반 빨르다 나일 먹다 여전하다 예쁘다 사랑스럽다 윰블리 연기 감상 만족 주지훈 정유미 배우 훌륭하다 내용 로코 가족 드라마 느끼다 개인 주쥰 본방 사수 내용 전개 측면 아쉬움 시대 떨어지다 스토리 고딩 아역 애절하다 그려지다 성인 남여 주인공 어울리다 몰입 안되다 포기 드라마 얻다 지원 주지훈 정유미 연기 홍민기 오예 주의 연기 재미 알다 각본 배우 죽이다 아역 배우 연기 재밌다 정유미 연기 어색하다 유치하다 배우 건지다 극본 건지다 불편하다 세월 실패하다 스토리 이도 미적지근하다 유치하다 가볍다
친절한 금자씨,복수 인생 마지막 표정 모든 해주다 복수 죽여주다 정도 초월 이입 증오 베풀다 친절하다 대하 인생 영화 이영애 배우 연기 빨갛다 화장 친절하다 싶다 자씨 자체 나다 친절 주다 싶다 정도 지나다 들다 치다 인상 남다 복수 우아하다 매혹 아름답다 처절하다 복수 자씨 친절하다 마음 아프다 캐릭터 지독하다 가혹하다 운명 타고나다 여자 충분하다 누리 느끼다 완벽하다 연출 연기 대담하다 씬들 각본 평범하다 복수 끝나다 남다 끄다 우아하다 토막 초코 케이크 박찬욱 복수 작다 상미 후반 부분 이영애 마지막 표정 웃다 건지다 울다 건지다 모르다 표정 많다 느끼다 사랑 슬프다 자씨 복수 자씨 가슴 아프다 친절하다 복수 복수 끝나다 케익 넘어가다 먹다 자씨 마음 아리 연기 대사 나레이션 분위기 몰입도 최고 자다 박찬욱 감독 재능 감탄 분노 덮이다 복수 와중 현실 복수 항상 해봤다 늦다 복수 속죄 복수 방법 친절하다 자씨 새해 영화 이렇다 명작 맞이 좋다 박찬욱 감독 바라보다 여자 시선 좋다 진정하다 복수 용서 대하 괴이 이상하다 아름답다 박찬욱 잔혹 동화 진짜 친절하다 자씨 드하 서도 스타 일리 쉬함 돋보이다 영화 까마득하다 깊다 호수 섬뜻 하리 잔잔하다 잔인함 보여주다 유명하다 선정 느낌 철저하다 복수 모성 복수 시리즈 한편 완성 높다 영화 이영애 배우 연기 최민식 배우 악역 최고다 초적 인간 악행 만하 박찬욱 감독 이렇다 영화 만들다 완벽하다 창백하다 복수 비행기 끊임없다 울다 소리 들다 연출 소름 듣다 실제 울음소리 후문 작품 나다 복수 화산 터지다 저지르다 버리다 복수 계단 올라가다 차근차근 해나 가다 복수 구나 들다 선하다 순하다 미덕 한국인 새롭다 달다 순간 세련되다 미감 우아하다 잔혹하다 자씨 울분 아름답다 재다 관람 우아하다 친절하다 복수 흥미롭다 소재 난잡하다 전개 증오 베풀다 친절하다 대하 복수 올드보이 재밌다 본격 모순 제시 결말 부가 명료하다 빠지다 헤어지다 결심 박찬욱 영화 취향 고급스럽다 밍밍 식당 친절하다 복수 복수 걸다 다급하다 상황 유효사거리 결코 잊다 자다 자다 정도 숭고하다 폭력 미학 메이드 자씨 오열 미소 짓다 장면 모든 설명 복수 순백 케이크 명백하다 달콤하다 때로는 감당 어렵다 실수 저지르다 견디다 죄책감 시달리다 미슐랭 받다 요리 락스 죽이다 더럽히다 버리다 두부 복수 성공하다 기쁘다 복수 허무하다 후회 도무지 감정 표정 인간 불완전하다 대응 구원 받다 이유 없어지다 여정 궁금하다
